tag_name,created_at,id,upload_url,name,zipball_url,published_at,tarball_url,assets_url,prerelease,url,html_url,draft,target_commitish,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.12,False,2015-03-23T21:25:02Z,2015-03-23T20:44:37Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/1081929,v4.0.12,1081929,v4.0.12,https://api.github.com/repos/wet-boew/wet-boew/releases/1081929/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/1081929/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.12,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.12,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.11,False,2015-02-17T21:37:42Z,2015-02-17T21:03:36Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/961257,v4.0.11,961257,v4.0.11,https://api.github.com/repos/wet-boew/wet-boew/releases/961257/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/961257/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.11,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.11,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.10,False,2015-01-20T17:46:34Z,2015-01-20T16:44:00Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/868046,v4.0.10,868046,v4.0.10,https://api.github.com/repos/wet-boew/wet-boew/releases/868046/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/868046/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.10,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.10,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.9,False,2014-12-11T21:14:06Z,2014-12-11T19:41:22Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/776311,v4.0.9,776311,v4.0.9,https://api.github.com/repos/wet-boew/wet-boew/releases/776311/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/776311/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.9,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.9,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.8+2,False,2014-11-24T15:29:11Z,2014-11-21T22:52:12Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/725013,v4.0.8+2,725013,v4.0.8+2,https://api.github.com/repos/wet-boew/wet-boew/releases/725013/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/725013/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.8%2B2,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.8+2,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.8+1,False,2014-11-20T22:30:28Z,2014-11-20T21:57:57Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/721826,v4.0.8+1,721826,v4.0.8+1,https://api.github.com/repos/wet-boew/wet-boew/releases/721826/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/721826/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.8%2B1,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.8+1,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.8,False,2014-11-18T19:38:16Z,2014-11-18T19:03:40Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/714486,v4.0.8,714486,v4.0.8,https://api.github.com/repos/wet-boew/wet-boew/releases/714486/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/714486/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.8,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.8,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.7,False,2014-10-22T18:13:52Z,2014-10-22T17:18:13Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/646174,v4.0.7,646174,v4.0.7,https://api.github.com/repos/wet-boew/wet-boew/releases/646174/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/646174/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.7,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.7,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.6,False,2014-09-23T21:57:37Z,2014-09-23T21:41:42Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/578087,v4.0.6,578087,v4.0.6,https://api.github.com/repos/wet-boew/wet-boew/releases/578087/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/578087/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.6,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.6,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.15,False,2014-09-23T20:21:34Z,2014-09-23T19:21:58Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/577776,v3.1.15,577776,v3.1.15,https://api.github.com/repos/wet-boew/wet-boew/releases/577776/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/577776/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v3.1.15,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.15,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.5,False,2014-08-21T02:54:59Z,2014-08-20T20:37:40Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/504894,v4.0.5,504894,v4.0.5,https://api.github.com/repos/wet-boew/wet-boew/releases/504894/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/504894/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.5,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.5,
