name,commit_sha,tarball_url,commit_url,zipball_url,
v4.0.24,561cf1b985e2704a9aa08d26799d5b89891dca02,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.24,https://api.github.com/repos/wet-boew/wet-boew/commits/561cf1b985e2704a9aa08d26799d5b89891dca02,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.24,
v4.0.23,00cc24bf3fe6119f8dde515c90120e89cf215fe6,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.23,https://api.github.com/repos/wet-boew/wet-boew/commits/00cc24bf3fe6119f8dde515c90120e89cf215fe6,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.23,
v4.0.22,e6ea3d39b461ed7c14a0978a073658e47afeae45,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.22,https://api.github.com/repos/wet-boew/wet-boew/commits/e6ea3d39b461ed7c14a0978a073658e47afeae45,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.22,
v4.0.21,374a0467be5d359378e4d5437faf00053117814f,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.21,https://api.github.com/repos/wet-boew/wet-boew/commits/374a0467be5d359378e4d5437faf00053117814f,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.21,
v4.0.20,ab71dda297a13d23b3b1bd8ac935e27ab3eeaa83,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.20,https://api.github.com/repos/wet-boew/wet-boew/commits/ab71dda297a13d23b3b1bd8ac935e27ab3eeaa83,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.20,
v4.0.19+2,ae469f7c1bba72aaf828d0003f0236e00a8cd85b,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.19+2,https://api.github.com/repos/wet-boew/wet-boew/commits/ae469f7c1bba72aaf828d0003f0236e00a8cd85b,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.19+2,
v4.0.19,40bc9b12ab6d87566c552343ba165aa6a81a9e6b,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.19,https://api.github.com/repos/wet-boew/wet-boew/commits/40bc9b12ab6d87566c552343ba165aa6a81a9e6b,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.19,
v4.0.18,1493029d8015b2036fda948a912b6a4bd6f8637e,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.18,https://api.github.com/repos/wet-boew/wet-boew/commits/1493029d8015b2036fda948a912b6a4bd6f8637e,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.18,
v4.0.17,08c2113c2332ea085aa0819e22bf4f6f37a70a76,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.17,https://api.github.com/repos/wet-boew/wet-boew/commits/08c2113c2332ea085aa0819e22bf4f6f37a70a76,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.17,
v4.0.16,4d96bbb00db29a8fac1a6cbe35049464dc77f90e,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.16,https://api.github.com/repos/wet-boew/wet-boew/commits/4d96bbb00db29a8fac1a6cbe35049464dc77f90e,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.16,
v4.0.15,2ca9ee673f61f7718195493f9b2d6a908b0b45be,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.15,https://api.github.com/repos/wet-boew/wet-boew/commits/2ca9ee673f61f7718195493f9b2d6a908b0b45be,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.15,
v4.0.14,8fc12baa7c36c98a5648de4a6082be4bdfed8e78,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.14,https://api.github.com/repos/wet-boew/wet-boew/commits/8fc12baa7c36c98a5648de4a6082be4bdfed8e78,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.14,
v4.0.13,0d49bd1f856865c693b037690c208f1863985d70,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.13,https://api.github.com/repos/wet-boew/wet-boew/commits/0d49bd1f856865c693b037690c208f1863985d70,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.13,
v4.0.12,3f869d5013c1a1a31d0b13c1a980178be7e66b28,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.12,https://api.github.com/repos/wet-boew/wet-boew/commits/3f869d5013c1a1a31d0b13c1a980178be7e66b28,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.12,
v4.0.11,3cc60ccf1bf8aaf568f55994430fe9c05dc2885d,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.11,https://api.github.com/repos/wet-boew/wet-boew/commits/3cc60ccf1bf8aaf568f55994430fe9c05dc2885d,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.11,
v4.0.10,7573195f9d813fe8d92766e06e77f40665a8af23,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.10,https://api.github.com/repos/wet-boew/wet-boew/commits/7573195f9d813fe8d92766e06e77f40665a8af23,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.10,
v4.0.9,c357874d12cc68b5f770d1a935b8baa2f4acad93,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.9,https://api.github.com/repos/wet-boew/wet-boew/commits/c357874d12cc68b5f770d1a935b8baa2f4acad93,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.9,
v4.0.8+2,213905dc3c3d1e0eccbd5e05de064925deb6cf85,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.8+2,https://api.github.com/repos/wet-boew/wet-boew/commits/213905dc3c3d1e0eccbd5e05de064925deb6cf85,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.8+2,
v4.0.8+1,625251451dc9f6f6bc713921cc5496d0f5c4f026,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.8+1,https://api.github.com/repos/wet-boew/wet-boew/commits/625251451dc9f6f6bc713921cc5496d0f5c4f026,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.8+1,
v4.0.8,f80baa74860902f74351b5a37c71f80c05095a63,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.8,https://api.github.com/repos/wet-boew/wet-boew/commits/f80baa74860902f74351b5a37c71f80c05095a63,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.8,
v4.0.7,84ea4f95c449be02e1525c016935592bb1803846,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.7,https://api.github.com/repos/wet-boew/wet-boew/commits/84ea4f95c449be02e1525c016935592bb1803846,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.7,
